timestamp_utc,mode,level,airborne,expected,alerted,detail
2026-06-07T16:30:41+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-07T17:00:51+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-07T17:30:42+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-07T17:37:01+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-07T18:00:51+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-07T18:30:42+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-07T19:00:50+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-07T19:30:42+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-07T19:43:24+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-07T20:00:54+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-07T20:30:40+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-07T21:00:51+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-07T21:21:12+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-07T21:30:39+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-07T22:00:53+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-07T22:30:39+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-07T22:40:21+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-07T23:00:50+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-07T23:30:40+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T00:00:54+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T00:19:20+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T00:30:41+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T01:00:50+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T01:30:39+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T02:00:51+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T02:30:41+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T03:00:54+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T03:30:40+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T04:00:53+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T04:30:42+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T05:00:51+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T05:16:33+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T05:30:42+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T06:00:56+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T06:30:44+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T07:00:56+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T07:30:45+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T08:01:01+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T08:30:44+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T09:00:57+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T09:30:45+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T10:00:57+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T10:07:05+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T10:30:47+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T11:00:56+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T11:30:45+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T12:00:59+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T12:30:47+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T13:01:00+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T13:30:46+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T14:01:02+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T14:32:35+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T14:36:45+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T15:01:01+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T15:31:03+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T16:01:01+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T16:30:45+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T17:00:59+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T17:30:46+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T18:00:57+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T18:07:07+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T18:30:43+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T19:00:57+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T19:30:43+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T20:00:54+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T20:30:46+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T21:00:55+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T21:02:34+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T21:30:45+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T22:00:57+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T22:30:41+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T22:45:01+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T23:00:54+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-08T23:30:42+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T00:00:59+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T00:13:10+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T00:30:41+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T01:00:53+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T01:30:41+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T02:00:50+00:00,rss,,,,False,sin items (nivel < 5)
